DATE,REAL GDP
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,281422.0
1980-04-01,279235.2
1980-07-01,279541.5
1980-10-01,279062.1
1981-01-01,280011.4
1981-04-01,281929.9
1981-07-01,283806.7
1981-10-01,285450.1
1982-01-01,287830.7
1982-04-01,289909.7
1982-07-01,289783.4
1982-10-01,291540.6
1983-01-01,292673.8
1983-04-01,292755.6
1983-07-01,293159.3
1983-10-01,294875.3
1984-01-01,296083.4
1984-04-01,297425.0
1984-07-01,299367.1
1984-10-01,299121.4
1985-01-01,300016.9
1985-04-01,302622.7
1985-07-01,304231.9
1985-10-01,305686.9
1986-01-01,306706.6
1986-04-01,309973.1
1986-07-01,311554.4
1986-10-01,311870.1
1987-01-01,312254.2
1987-04-01,316935.6
1987-07-01,319078.1
1987-10-01,323792.0
1988-01-01,327754.8
1988-04-01,330519.4
1988-07-01,334727.0
1988-10-01,337489.0
1989-01-01,341390.3
1989-04-01,345591.5
1989-07-01,349404.7
1989-10-01,354411.4
1990-01-01,355426.3
1990-04-01,357275.9
1990-07-01,359421.7
1990-10-01,358801.1
1991-01-01,359611.3
1991-04-01,360800.2
1991-07-01,362071.3
1991-10-01,364119.1
1992-01-01,367073.8
1992-04-01,367575.0
1992-07-01,366947.1
1992-10-01,366534.8
1993-01-01,364223.9
1993-04-01,363943.6
1993-07-01,364307.9
1993-10-01,365554.1
1994-01-01,367924.3
1994-04-01,371605.2
1994-07-01,374900.6
1994-10-01,378292.8
1995-01-01,379526.9
1995-04-01,381958.4
1995-07-01,382530.0
1995-10-01,382409.3
1996-01-01,385257.8
1996-04-01,385819.6
1996-07-01,387376.7
1996-10-01,388685.2
1997-01-01,389920.8
1997-04-01,393850.9
1997-07-01,397581.7
1997-10-01,401789.2
1998-01-01,405707.0
1998-04-01,408947.3
1998-07-01,411249.4
1998-10-01,414264.9
1999-01-01,417021.5
1999-04-01,419625.4
1999-07-01,425744.9
1999-10-01,431593.2
2000-01-01,435184.6
2000-04-01,439669.1
2000-07-01,443241.0
2000-10-01,445988.8
2001-01-01,448029.1
2001-04-01,448784.8
2001-07-01,451564.3
2001-10-01,449671.0
2002-01-01,452319.2
2002-04-01,454191.1
2002-07-01,456357.7
2002-10-01,456379.7
2003-01-01,456830.0
2003-04-01,455658.9
2003-07-01,460029.0
2003-10-01,462051.8
2004-01-01,466632.7
2004-04-01,469278.4
2004-07-01,471006.4
2004-10-01,474025.9
2005-01-01,475331.0
2005-04-01,476356.3
2005-07-01,479548.9
2005-10-01,482604.6
2006-01-01,486214.0
2006-04-01,491271.6
2006-07-01,492082.9
2006-10-01,495107.0
2007-01-01,498977.4
2007-04-01,502372.1
2007-07-01,504473.5
2007-10-01,505586.5
2008-01-01,508080.0
2008-04-01,505061.7
2008-07-01,504377.6
2008-10-01,496810.3
2009-01-01,488226.1
2009-04-01,488348.2
2009-07-01,488738.9
2009-10-01,492942.8
2010-01-01,494228.6
2010-04-01,496726.2
2010-07-01,499743.8
2010-10-01,502810.8
2011-01-01,508131.7
2011-04-01,508034.7
2011-07-01,510275.8
2011-10-01,511521.7
2012-01-01,511315.3
2012-04-01,510777.4
2012-07-01,511996.2
2012-10-01,511287.3
2013-01-01,511384.5
2013-04-01,515141.0
2013-07-01,514659.7
2013-10-01,518452.7
2014-01-01,518186.6
2014-04-01,518637.5
2014-07-01,521576.6
2014-10-01,521071.4
2015-01-01,523868.7
2015-04-01,524673.8
2015-07-01,525854.4
2015-10-01,526874.3
2016-01-01,530176.4
2016-04-01,528130.0
2016-07-01,530254.6
2016-10-01,533396.7
2017-01-01,536788.9
2017-04-01,541476.2
2017-07-01,546317.2
2017-10-01,549547.5
2018-01-01,549477.7
2018-04-01,552003.0
2018-07-01,554602.6
2018-10-01,557552.6
2019-01-01,561406.5
2019-04-01,565087.1
2019-07-01,565630.9
2019-10-01,563338.8
2020-01-01,533380.9
2020-04-01,463246.3
2020-07-01,544496.3
2020-10-01,541144.6
2021-01-01,541227.7
2021-04-01,545954.3
2021-07-01,562129.9
2021-10-01,565478.0
2022-01-01,564689.4
2022-04-01,566759.4
2022-07-01,569742.6
2022-10-01,569537.3
2023-01-01,569417.8
2023-04-01,573071.2
2023-07-01,573501.9
2023-10-01,574211.1
